URN,Local Authority name,Establisment name,Easting,Northing,Type of Establishment,Phase of education,NO2 g/m3 mean,Above limit,Parliamentary Constituences,Establishment Status,Close Date
137040,Havering,The Campion School,554726,189394,Academy Converter,Secondary,29,No,Hornchurch and Upminster,Open,
136795,Sutton,Nonsuch High School for Girls,523770,163313,Academy Converter,Secondary,28.9,No,Epsom and Ewell,Open,
102220,Harrow,Welldon Park Primary School,514400,186000,Community School,Primary,28.9,No,Harrow West,Open,
101441,Bexley,Northwood Primary School,548540,179207,Community School,Primary,28.9,No,Erith and Thamesmead,Open,
102458,Hillingdon,ACS Hillingdon International School,506849,183830,Other Independent School,Not applicable,28.9,No,Uxbridge and South Ruislip,Open,
136369,Bexley,Bexley Grammar School,546489,175163,Academy Converter,Secondary,28.9,No,Bexleyheath and Crayford,Open,
136720,Bexley,Welling School,546941,176454,Academy Converter,Secondary,28.9,No,Bexleyheath and Crayford,Open,
102248,Harrow,Orley Farm School,514907,186152,Other Independent School,Not applicable,28.9,No,Harrow West,Open,
142300,Bromley,Unicorn Primary School,537774,167753,Academy Converter,Primary,28.9,No,Beckenham,Open,
137635,Hillingdon,Vyners School,506711,185521,Academy Converter,Secondary,28.9,No,"Ruislip, Northwood and Pinner",Open,
102988,Sutton,Amy Johnson Primary School,530311,163120,Community School,Primary,28.9,No,Carshalton and Wallington,Open,
101797,Croydon,Margaret Roper Catholic Primary School,531024,162230,Voluntary Aided School,Primary,28.9,No,Croydon South,Open,
101821,Croydon,Thomas More Catholic School,531024,162230,Voluntary Aided School,Secondary,28.9,No,Croydon South,Open,
101461,Bexley,St Peter Chanel Catholic Primary School,547304,171192,Voluntary Aided School,Primary,28.9,No,Old Bexley and Sidcup,Open,
134118,Bexley,Upland Primary School,548550,175796,Community School,Primary,28.8,No,Bexleyheath and Crayford,Closed,9/30/2016
100169,Barking and Dagenham,St Joseph's Catholic Primary School,544156,183775,Voluntary Aided School,Primary,28.8,No,Greenwich and Woolwich,Open,
140257,Bromley,Highfield Junior School,539328,168292,Academy Converter,Primary,28.8,No,Beckenham,Open,
102610,Kingston upon Thames,Shrewsbury House School,518017,165955,Other Independent School,Not applicable,28.8,No,Kingston and Surbiton,Open,
101202,Barking and Dagenham,Beam Primary School,550210,183257,Community School,Primary,28.8,No,Dagenham and Rainham,Open,
101231,Barking and Dagenham,Becontree Primary School,546884,186340,Community School,Primary,28.8,No,Barking,Open,
136308,Barnet,Ashmole Academy,529324,194021,Academy Converter,Secondary,28.8,No,Chipping Barnet,Open,
140082,Bromley,Highfield Infants' School,539471,168333,Academy Converter,Primary,28.8,No,Beckenham,Open,
102462,Hillingdon,Meadow High School,506516,181711,Community Special School,Not applicable,28.8,No,Uxbridge and South Ruislip,Open,
102223,Harrow,Vaughan Primary School,514092,188075,Community School,Primary,28.8,No,Harrow West,Open,
102195,Harrow,Priestmead Primary School and Nursery,516813,189875,Community School,Primary,28.8,No,Harrow East,Open,
142298,Bromley,Oak Lodge Primary School,537549,166471,Academy Converter,Primary,28.8,No,Beckenham,Open,
